transaction_id,product_id,quantity,unit_price,sales_date,region,customer_id
t1,p1,2,10.0,2025-01-01,north,c1
t2,p2,1,5.0,2025-01-02,south,c2
t3,p3,3,9.5,2025-01-03,east,c3
t4,p4,4,12.75,2025-01-04,west,c4
t5,p5,5,8.25,2025-01-05,north,c5
t6,p6,2,15.5,2025-01-06,south,c6
t7,p7,1,7.0,2025-01-07,east,c7
t8,p8,3,11.25,2025-01-08,west,c8
t9,p9,4,14.0,2025-01-09,north,c9
t10,p10,5,6.75,2025-01-10,south,c10
t11,p1,2,13.5,2025-01-11,east,c11
t12,p2,1,9.9,2025-01-12,west,c12
t13,p3,3,10.25,2025-01-13,north,c13
t14,p4,4,18.0,2025-01-14,south,c14
t15,p5,5,7.5,2025-01-15,east,c15
t16,p6,2,12.3 stelle,2025-01-16,west,c16
t17,p7,1,16.8,2025-01-17,north,c17
t18,p8,3,5.5,2025-01-18,south,c18
t19,p9,4,19.2,2025-01-19,east,c19
t20,p10,5,11.1,2025-01-20,west,c20
t21,p1,2,14.4,2025-01-21,north,c21
t22,p2,1,8.8,2025-01-22,south,c22
t23,p3,3,17.7,2025-01-23,east,c23
t24,p4,4,6.6,2025-01-24,west,c24
t25,p5,5,20.0,2025-01-25,north,c25
t26,p6,2,13.2,2025-01-26,south,c26
t27,p7,1,9.9,2025-01-27,east,c27
t28,p8,3,15.5,2025-01-28,west,c28
t29,p9,4,7.7,2025-01-29,north,c29
t30,p10,5,18.8,2025-01-30,south,c30
t971,p471,4,11.3,2025-12-06,east,c971
t972,p472,5,19.9,2025-12-07,west,c972
t973,p473,1,8.1,2025-12-08,north,c973
t974,p474,2,14.7,2025-12-09,south,c974
t975,p475,3,6.4,2025-12-10,east,c975
t976,p476,4,17.2,2025-12-11,west,c976
t977,p477,5,10.5,2025-12-12,north,c977
t978,p478,1,12.9,2025-12-13,south,c978
t979,p479,2,15.6,2025-12-14,east,c979
t980,p480,3,9.8,2025-12-15,west,c980
t981,p481,4,18.3,2025-12-16,north,c981
t982,p482,5,7.2,2025-12-17,south,c982
t983,p483,1,16.1,2025-12-18,east,c983
t984,p484,2,11.4,2025-12-19,west,c984
t985,p485,3,13.8,2025-12-20,north,c985
t986,p486,4,20.0,2025-12-21,south,c986
t987,p487,5,8.7,2025-12-22,east,c987
t988,p488,1,14.5,2025-12-23,west,c988
t989,p489,2,10.2,2025-12-24,north,c989
t990,p490,3,19.4,2025-12-25,south,c990
t991,p491,4,6.9,2025-12-26,east,c991
t992,p492,5,17.8,2025-12-27,west,c992
t993,p493,1,12.1,2025-12-28,north,c993
t994,p494,2,15.3,2025-12-29,south,c994
t995,p495,3,9.6,2025-12-30,east,c995
t996,p496,4,18.9,2025-12-31,west,c996
t997,p497,5,11.7,2026-01-01,north,c997
t998,p498,1,14.2,2026-01-02,south,c998
t999,p499,2,16.5,2026-01-03,east,c999
t1000,p500,3,19.9,2026-01-04,west,c1000
